gateway,dimension,score,evidence_url,evidence_date,notes
Circle (USDC),regulatory_license,0.95,https://www.dfs.ny.gov/virtual_currency_businesses,2023-01-15,NYDFS BitLicense holder
Circle (USDC),reserve_transparency,0.90,https://www.circle.com/en/transparency,2026-01-31,Monthly Deloitte attestations
Circle (USDC),freeze_capability,0.95,https://etherscan.io/address/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48#code,2023-03-01,blacklist() function in contract
Circle (USDC),compliance_infra,0.90,https://www.circle.com/en/usdc,2023-01-01,Full KYC/AML program
Circle (USDC),geo_restrictions,0.90,https://www.circle.com/en/legal/usdc-terms,2023-01-01,OFAC compliance documented
Tether (USDT),regulatory_license,0.10,N/A,2023-01-01,No US regulatory license
Tether (USDT),reserve_transparency,0.50,https://tether.to/en/transparency/,2026-01-31,Quarterly BDO attestations
Tether (USDT),freeze_capability,0.90,https://etherscan.io/address/0xdac17f958d2ee523a2206206994597c13d831ec7#code,2023-01-01,addBlackList() function
Tether (USDT),compliance_infra,0.30,https://tether.to/en/compliance/,2023-01-01,Limited KYC requirements
Tether (USDT),geo_restrictions,0.20,N/A,2023-01-01,No systematic OFAC compliance
Uniswap,regulatory_license,0.05,N/A,2023-01-01,No license - decentralized
Uniswap,reserve_transparency,0.95,https://etherscan.io/,2023-01-01,Fully on-chain transparent
Uniswap,freeze_capability,0.05,https://github.com/Uniswap/v3-core,2023-01-01,No admin freeze function
Uniswap,compliance_infra,0.05,N/A,2023-01-01,No KYC
Uniswap,geo_restrictions,0.10,https://app.uniswap.org,2023-01-01,Frontend geo-blocking only
Tornado Cash,regulatory_license,0.01,https://home.treasury.gov/news/press-releases/jy0916,2022-08-08,OFAC sanctioned
Tornado Cash,reserve_transparency,0.90,https://etherscan.io/,2023-01-01,On-chain
Tornado Cash,freeze_capability,0.01,N/A,2022-08-08,Cannot comply with sanctions
Tornado Cash,compliance_infra,0.01,N/A,2022-08-08,Designed for privacy
Tornado Cash,geo_restrictions,0.01,N/A,2022-08-08,Sanctioned globally
